UDI,Product ID,Type,Air Temperature (K),Process Temperature (K),Rotational Speed (rpm),Torque (Nm),Tool Wear (min),Machine Failure,TWF (Tool Wear Failure),HDF (Heat Dissipation Failure),PWF (Power Failure),OSF (Overstrain Failure),RNF (Random Failure),Failure Cause Analysis,Fix Recommendation
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,Normal Operation,Regular Maintenance
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,Normal Operation,Monitor Tool Wear
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,Normal Operation,Check Torque Levels
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,Normal Operation,Regular Maintenance
5,M14864,M,298.2,308.7,1408,40,11,0,0,0,0,0,0,Normal Operation,Monitor Temperature
6,L47185,L,298.1,308.6,1425,41.9,14,0,0,0,0,0,0,Normal Operation,Regular Maintenance
7,L47186,L,298.1,308.6,1558,42.4,16,0,0,0,0,0,0,Normal Operation,Check Speed
8,M14867,M,298.3,308.7,1523,40.4,18,0,0,0,0,0,0,Normal Operation,Regular Maintenance
9,L47188,L,298.5,309,1414,52,20,0,0,0,0,0,0,Normal Operation,Torque Elevated
10,M14869,M,298.6,309.1,1600,59.3,22,0,0,0,0,0,0,Normal Operation,High Torque Warning
11,H47190,H,298.1,308.5,1576,47.8,25,0,0,0,0,0,0,Normal Operation,Routine Check
12,M14871,M,298.9,309.4,1370,48.2,28,0,0,0,0,0,0,Normal Operation,Monitor Speed
13,L47192,L,298.4,308.9,1485,51.6,31,0,0,0,0,0,0,Normal Operation,Check Torque
14,H47193,H,298.7,309.2,1573,38.2,34,0,0,0,0,0,0,Normal Operation,Routine Check
15,M14874,M,299.1,309.6,1551,42.1,37,0,0,0,0,0,0,Normal Operation,Regular Maintenance
16,L47195,L,299.3,309.8,1497,39.4,40,0,0,0,0,0,0,Normal Operation,Monitor Temperature
17,M14876,M,299.2,309.7,1355,48.5,43,0,0,0,0,0,0,Normal Operation,Speed Below Threshold
18,L47197,L,299.4,309.9,1537,44.7,46,0,0,0,0,0,0,Normal Operation,Regular Maintenance
19,H47198,H,299.5,310,1499,45.1,50,0,0,0,0,0,0,Normal Operation,Routine Check
20,M14879,M,300.1,310.6,1400,55.3,55,1,1,0,0,0,0,Tool Wear Failure - Excessive tool wear beyond threshold (53 min for L),Replace cutting tool immediately
21,L47200,L,300.3,310.8,1350,66,58,1,0,0,1,0,0,Power Failure - Torque x Speed exceeded 9000 Wmin,Reduce rotational speed and torque
22,H47201,H,300.5,311,1320,70.1,62,1,0,0,0,1,0,Overstrain Failure - Tool wear x Torque exceeded limit for H type,Immediate maintenance required
23,M14882,M,301,310.2,1380,42,65,1,0,1,0,0,0,Heat Dissipation Failure - Temp difference < 8.6K,Check cooling system
24,L47203,L,301.5,310.5,1290,68.3,68,1,1,0,0,0,0,Tool Wear Failure - Tool wear critical,Replace tool and recalibrate
25,H47204,H,302,309.8,1410,39.5,70,1,0,1,0,0,0,Heat Dissipation Failure - Insufficient cooling,Inspect cooling fans and heat exchangers
26,M14885,M,299.8,310.3,1520,43.2,15,0,0,0,0,0,0,Normal Operation,Regular Maintenance
27,L47206,L,300,310.5,1480,44.6,18,0,0,0,0,0,0,Normal Operation,Monitor Temperature
28,H47207,H,298.8,309.3,1560,41.8,22,0,0,0,0,0,0,Normal Operation,Routine Check
29,M14888,M,299.1,309.6,1395,52.1,26,0,0,0,0,0,0,Normal Operation,Monitor Torque
30,L47209,L,299.5,310,1445,48.9,30,0,0,0,0,0,0,Normal Operation,Check Tool Wear
31,M14890,M,302.5,309.9,1350,75.2,72,1,0,0,1,0,0,Power Failure - High power consumption,Reduce load on motor
32,H47211,H,303,310.1,1300,80,75,1,1,0,0,1,0,Multiple Failure - Tool Wear + Overstrain,Full machine inspection required
33,L47212,L,300.8,310.3,1490,43.1,35,0,0,0,0,0,0,Normal Operation,Regular Maintenance
34,M14893,M,300.2,310.7,1520,44.5,38,0,0,0,0,0,0,Normal Operation,Monitor Speed
35,H47214,H,301,310.5,1475,46.2,42,0,0,0,0,0,0,Normal Operation,Routine Check
36,L47215,L,301.5,311,1340,62,45,0,0,0,0,0,0,Normal Operation,High Torque Monitor
37,M14896,M,300.5,310,1500,41,48,0,0,0,0,0,0,Normal Operation,Regular Maintenance
38,H47217,H,299.5,309,1550,39,52,0,0,0,0,0,0,Normal Operation,Routine Check
39,L47218,L,302,311.5,1280,71,78,1,0,0,1,1,0,Power + Overstrain Failure - Critical load exceeded,Emergency stop and full overhaul
40,M14899,M,300.9,310.4,1420,47.3,22,0,0,0,0,0,1,Random Failure - Unexpected component failure,Inspect all subsystems
41,H47220,H,299.2,309.7,1580,40.5,12,0,0,0,0,0,0,Normal Operation,Routine Check
42,L47221,L,299.8,310.3,1460,50.2,33,0,0,0,0,0,0,Normal Operation,Monitor Torque
